File Path,Line Number,Type,Label/Text
src/components/common/RootErrorBoundary.tsx,203,Native Button,[Icon/Unknown]
src/components/common/RootErrorBoundary.tsx,211,Native Button,[Icon/Unknown]
src/components/common/ErrorBoundary.tsx,78,Native Button,[Icon/Unknown]
src/components/table/TablePreviewAction.tsx,54,Native Button,[Icon/Unknown]
src/components/table/TablePreviewAction.tsx,74,Native Button,[Icon/Unknown]
src/components/table/TableActions.tsx,86,Native Button,[Icon/Unknown]
src/components/table/TableActions.tsx,113,Native Button,[Icon/Unknown]
src/components/table/TableActions.tsx,126,Native Button,[Icon/Unknown]
src/components/table/TableFilters.tsx,107,Native Button,[Icon/Unknown]
src/components/table/TableFilters.tsx,138,Native Button,[Icon/Unknown]
src/components/table/TableFilters.tsx,146,Native Button,[Icon/Unknown]
src/components/voucher/OriginalDocumentPreview.tsx,268,Native Button,[Icon/Unknown]
src/components/voucher/OriginalDocumentPreview.tsx,311,Native Button,[Icon/Unknown]
src/components/voucher/OriginalDocumentPreview.tsx,347,Native Button,[Icon/Unknown]
src/components/voucher/OriginalDocumentPreview.tsx,360,Native Button,[Icon/Unknown]
src/components/preview/SmartFilePreview.tsx,134,Native Button,[Icon/Unknown]
src/components/preview/SmartFilePreview.tsx,202,Native Button,[Icon/Unknown]
src/components/preview/SmartFilePreview.tsx,242,Native Button,[Icon/Unknown]
src/components/preview/SmartFilePreview.tsx,251,Native Button,[Icon/Unknown]
src/components/preview/SmartFilePreview.tsx,260,Native Button,[Icon/Unknown]
src/components/preview/SmartFilePreview.tsx,267,Native Button,[Icon/Unknown]
src/components/preview/SmartFilePreview.tsx,279,Native Button,[Icon/Unknown]
src/components/preview/SmartFilePreview.tsx,292,Native Button,[Icon/Unknown]
src/components/preview/SmartFilePreview.tsx,300,Native Button,[Icon/Unknown]
src/components/preview/PreviewToolbar.tsx,101,Native Button,[Icon/Unknown]
src/components/preview/PreviewToolbar.tsx,109,Native Button,[Icon/Unknown]
src/components/preview/PreviewToolbar.tsx,116,Native Button,[Icon/Unknown]
src/components/preview/PreviewToolbar.tsx,126,Native Button,[Icon/Unknown]
src/components/preview/PreviewToolbar.tsx,136,Native Button,[Icon/Unknown]
src/components/preview/PreviewToolbar.tsx,147,Native Button,[Icon/Unknown]
src/components/preview/PreviewToolbar.tsx,158,Native Button,[Icon/Unknown]
src/components/Sidebar.tsx,149,Native Button,[Icon/Unknown]
src/components/pool-dashboard/DashboardCard.tsx,72,Native Button,[Icon/Unknown]
src/components/pool-dashboard/PoolDashboard.tsx,144,Native Button,[Icon/Unknown]
src/components/pool-dashboard/PoolDashboard.tsx,160,Native Button,[Icon/Unknown]
src/components/pool-kanban/KanbanCard.tsx,111,AntD Button,[Icon/Unknown]
src/components/pool-kanban/KanbanCard.tsx,121,AntD Button,[Icon/Unknown]
src/components/pool-kanban/KanbanCard.tsx,134,Native Button,[Icon/Unknown]
src/components/pool-kanban/CollapsedColumn.tsx,43,Native Button,[Icon/Unknown]
src/components/pool-kanban/BatchActionBar.tsx,59,AntD Button,[Icon/Unknown]
src/components/pool-kanban/BatchActionBar.tsx,64,AntD Button,[Icon/Unknown]
src/components/pool-kanban/BatchActionBar.tsx,74,AntD Button,[Icon/Unknown]
src/components/pool-kanban/PoolKanbanView.tsx,166,AntD Button,[Icon/Unknown]
src/components/pool-kanban/PoolKanbanView.tsx,169,AntD Button,[Icon/Unknown]
src/components/pool-kanban/PoolKanbanView.tsx,172,AntD Button,[Icon/Unknown]
src/components/pool-kanban/PoolKanbanView.tsx,175,AntD Button,[Icon/Unknown]
src/components/pool-kanban/PoolKanbanView.tsx,183,AntD Button,[Icon/Unknown]
src/components/pool-kanban/PoolKanbanView.tsx,191,AntD Button,[Icon/Unknown]
src/components/pool-kanban/PoolKanbanView.tsx,401,Native Button,重试
src/components/pool-kanban/KanbanColumn.test.tsx,40,Native Button,select
src/components/pool-kanban/KanbanColumn.test.tsx,41,Native Button,view
src/components/pool-kanban/__tests__/PoolKanbanView.test.tsx,14,Native Button,[Icon/Unknown]
src/components/pool-kanban/__tests__/PoolKanbanView.test.tsx,71,Native Button,[Icon/Unknown]
src/components/pool-kanban/__tests__/PoolKanbanView.test.tsx,88,Native Button,展开
src/components/pool-kanban/__tests__/PoolKanbanView.test.tsx,100,Native Button,取消
src/components/pool-kanban/__tests__/PoolKanbanView.test.tsx,101,Native Button,执行
src/components/pool-kanban/__tests__/PoolKanbanView.test.tsx,113,Native Button,关闭
src/components/GlobalSearch/SearchResults.tsx,25,Native Button,[Icon/Unknown]
src/pages/matching/VoucherMatchingView.tsx,298,AntD Button,[Icon/Unknown]
src/pages/matching/VoucherMatchingView.tsx,371,AntD Button,[Icon/Unknown]
src/pages/matching/VoucherMatchingView.tsx,445,AntD Button,[Icon/Unknown]
src/pages/matching/VoucherMatchingView.tsx,475,AntD Button,[Icon/Unknown]
src/pages/matching/VoucherMatchingView.tsx,523,AntD Button,[Icon/Unknown]
src/pages/matching/OnboardingWizard.tsx,90,AntD Button,[Icon/Unknown]
src/pages/matching/OnboardingWizard.tsx,135,AntD Button,[Icon/Unknown]
src/pages/matching/OnboardingWizard.tsx,164,AntD Button,[Icon/Unknown]
src/pages/matching/OnboardingWizard.tsx,185,AntD Button,[Icon/Unknown]
src/pages/matching/ComplianceReport.tsx,151,AntD Button,补证
src/pages/matching/ComplianceReport.tsx,173,AntD Button,[Icon/Unknown]
src/pages/matching/ComplianceReport.tsx,180,AntD Button,[Icon/Unknown]
src/pages/pre-archive/LedgersPreArchiveView.tsx,33,Native Button,[Icon/Unknown]
src/pages/pre-archive/LedgersPreArchiveView.tsx,42,Native Button,[Icon/Unknown]
src/pages/pre-archive/AbnormalDataView.tsx,118,Native Button,[Icon/Unknown]
src/pages/pre-archive/AbnormalDataView.tsx,124,Native Button,[Icon/Unknown]
src/pages/pre-archive/ReportsPreArchiveView.tsx,33,Native Button,[Icon/Unknown]
src/pages/pre-archive/ReportsPreArchiveView.tsx,42,Native Button,[Icon/Unknown]
src/pages/pre-archive/OtherAccountingMaterialsView.tsx,36,Native Button,[Icon/Unknown]
src/pages/pre-archive/OtherAccountingMaterialsView.tsx,45,Native Button,[Icon/Unknown]
src/pages/pre-archive/PoolPage.tsx,35,Native Button,[Icon/Unknown]
src/pages/pre-archive/PoolPage.tsx,44,Native Button,[Icon/Unknown]
src/pages/pre-archive/components/AbnormalEditModal.tsx,76,Native Button,[Icon/Unknown]
src/pages/pre-archive/components/AbnormalEditModal.tsx,115,Native Button,[Icon/Unknown]
src/pages/pre-archive/components/AbnormalEditModal.tsx,122,Native Button,[Icon/Unknown]
